id,name,game_slug,price,release_date,platform,description,developer,publisher,genres
e64af2d6202d4b64b86abe428250dbff,Dauntless,dauntless,0,2020-03-19T13:51:00.000Z,Windows,Dauntless,Phoenix Labs,Phoenix Labs,"ACTION,RPG,MULTIPLAYER"
88be15452fea4ebf9e211deb291e8189,Watch Dogs Standard Edition,watch-dogs,2999,2020-03-19T15:00:00.000Z,Windows,"As Aiden Pearce, a brilliant hacker, turn Chicago into the ultimate weapon in your quest for revenge. But what happens when your personal quest collides with an entire city?",Ubisoft Montreal,Ubisoft,"ACTION,ADVENTURE"
fd2df056f60e4ca8a59ca5c5f0ff3395,Assassin's Creed Rogue Standard Edition,assassins-creed-rogue,1999,2020-03-25T15:00:00.000Z,Windows,"Introducing Assassin’s Creed Rogue, the darkest chapter in the Assassin’s Creed franchise yet.  As Shay, you will experience the slow transformation from Assassin to Assassin Hunter.",Ubisoft,Ubisoft,"ACTION,ADVENTURE"
84f8d79ca9d84057ba4406d215cb6ad5,Tormentor x Punisher,tormentor-x-punisher,799,2020-03-26T15:00:00.000Z,Windows,"Everything in Tormentor ❌ Punisher can be killed in one hit, including bosses and yourself. Bosses change the shape of the arena, conjuring rooms and traps to make it more hellish and brutal. Demons adjust to your play style and punish you accordingly. Explore and discover new...",E-Studio,Raw Fury,"ACTION,INDIE"
addd4e86c4d746ab86f21606bdadce7d,Figment,figment,1999,2020-03-26T15:00:00.000Z,Windows,"Figment is an action-adventure game that invites you to explore a unique surreal universe filled with music, humor and multi layered narrative.",Bedtime Digital Games,Bedtime Digital Games,"ACTION,ADVENTURE,INDIE"
ba1f4fa2618046a0a8d71588cd0c2a68,The Stanley Parable,the-stanley-parable,1499,2020-03-26T15:00:00.000Z,Windows,"The Stanley Parable is a first person exploration game. You will play as Stanley, and you will not play as Stanley. You will follow a story, you will not follow a story. You will have a choice, you will have no choice.",Galactic Cafe,Galactic Cafe,"ADVENTURE,NARRATION,COMEDY"
1f7e992461c044b9972d0c3fb6a9277a,Genesis Alpha One Deluxe Edition,genesis-alpha-one,2999,2020-03-27T14:00:00.000Z,Windows,"Explore a vast universe in this roguelike, ship building, FPS  Genesis Alpha One mixes thrilling roguelike mechanics with a deep ship builder and fast first-person action, putting you in the role of an interstellar pioneer.",Radiation Blue,Team17 Digital Ltd,"ROGUE_LIKE,FPS,BASE_BUILDING"
9aa227e2ba294bb1a95c95fde892eb31,Totally Reliable Delivery Service Standard Edition,totally-reliable-delivery-service,1499,2020-04-01T15:00:00.000Z,"Windows,Mac","Buckle up your back brace and fire up the delivery truck, it's time to deliver! Join up to three friends and haphazardly get the job done in an interactive sandbox world. Delivery attempted, that's a Totally Reliable Delivery Service guarantee!",We're Five Games,tinyBuild,"INDIE,PHYSICS,MULTIPLAYER"
afadb715390a4593acdca79dae94b60a,Sherlock Holmes: Crimes and Punishments,sherlock-holmes-crimes-and-punishments,2999,2020-04-02T15:00:00.000Z,Windows,Become the most celebrated detective of all time: Sherlock Holmes! Use your impressive talents as a detective to solve six thrilling and varied cases.,Frogwares,Frogwares,"INVESTIGATION,NARRATION,ADVENTURE"
0823aa31fb7540db886871c5aa44dcc3,Hob,hob,1999,2020-04-02T15:00:00.000Z,Windows,"Hob is a vibrant, suspenseful action-adventure game set on a stunning and brutal world in disarray. As players delve into the mysteries around them, they discover a planet in peril. Can it be mended, or will the world fall further into chaos?",Runic Games,Perfect World Entertainment,"ACTION,ADVENTURE,EXPLORATION"
56b3f851cc664490a9911040da23a611,Gone Home,gone-home,1499,2020-04-02T15:00:00.000Z,"Windows,Mac","June 7th, 1995. 1:15 AM.   You arrive home after a year abroad. You expect your family to greet you, but the house is empty. Something's not right. Where is everyone? And what's happened here? Unravel the mystery for yourself in Gone Home.",The Fullbright Company,The Fullbright Company,"INDIE,ADVENTURE,FIRST_PERSON"
a541f0935a3340c5b05a3742e0888d18,Industries of Titan,industries-of-titan,2999,2020-04-14T15:00:00.000Z,Windows,"Industries of Titan is an industrial city building sim/strategy game set on Saturn's moon, Titan. Create a sprawling industrial city, design powerful factories, and compete with other rival corporations to stake your claim to the industries of Titan!  As the Founder of a new c...",Brace Yourself Games,Brace Yourself Games,"STRATEGY,CITY_BUILDER,SIMULATION"
ae212a8d9bda47228596f6ce38e5c597,Wheels of Aurelia,wheels-of-aurelia,1499,2020-04-16T15:00:00.000Z,"Windows,MAC","Embark on an immersive road trip through the gritty western coast of Italy during the roaring 1970’s. Playing as Lella, a bold, spunky woman, experience the sights and sounds of a tumultuous time in Italy’s history while uncovering events from Lella’s past.",Santa Ragione srl,Santa Ragione srl,"INDIE,NARRATION,RACING"
f6db79620fd849a685f8b463d3a8bf2d,Just Cause 4 Reloaded,just-cause-4,3999,2020-04-23T15:00:00.000Z,Windows,"Rogue agent Rico Rodriguez journeys to Solis, a huge South American world home of conflict, oppression and extreme weather conditions. Strap into your wingsuit, equip your fully customizable grappling hook, and get ready to bring the thunder!",Avalanche Studios,Square Enix,"ACTION,OPEN_WORLD,PHYSICS"
7ad72dc39d624bbd912c195daad10d00,For The King,for-the-king,1999,2020-04-23T15:00:00.000Z,Windows,"For The King is a challenging blend of strategy, turn-based combat, and roguelike elements. Each playthrough is unique with procedural maps, quests, and events. Explore Fahrul in either single player, local, or online co-op.",IronOak Games,Curve Digital,"TURN_BASED,ADVENTURE,CO_OP"
5014d355b4684d80a095a570219c3443,SnowRunner,snowrunner,2999,2020-04-28T16:00:00.000Z,Windows,Get ready for the next-generation off-road experience!  Drive powerful vehicles and overcome extreme open environments to complete dozens of challenging missions solo or with up to 3 friends!,Saber Interactive,Focus Entertainment,SIMULATION
