id,operacional_system,processor,memory,graphics,fk_game_id
Windows 10 64-Bit,Intel Core i3-2120 / AMD Phenom II X4 830 or equivalent,8 GB RAM,NVIDIA GeForce GTX 760 (2GB VRAM) / AMD Radeon R9 280 (2GB VRAM) or higher,18 GB available space,a89804c0a3be4493a4c0ee999c24f913
Windows 10 64-Bit,Intel Core i5-4440 / AMD FC-8140 or equivalent,8 GB RAM,NVIDIA GeForce GTX 1070 (8GB VRAM) / AMD Radeon RX Vega 56 (8GB VRAM) or higher,18 GB available space,a89804c0a3be4493a4c0ee999c24f913
Windows 10,2.4 GHz+,4,Dedicated graphics card with 1+ GB of VRAM,1500,dc9292c5d0ac441b8b6b8e261662ff40
Windows 7 64 Bits,Intel Quad Core i5-2300 or AMD FX-6300,8 GB RAM,Nvidia GeForce GTX 560 (1GB) or AMD Radeon HD 7770 (1GB),8 GB,ec9f7851c917448fbc4a7ee84d0780d9
Windows 10 64 Bits,Intel Quad Core i5-2300 or AMD FX-6300,8 GB RAM,Nvidia GeForce GTX 780 Ti/970 (High Settings) and 1070 (Ultra Settings) or AMD R9 290/AMD RX480 (High Settings),8 GB,ec9f7851c917448fbc4a7ee84d0780d9
Windows 7 64-bit,Intel Core i3-4160 @ 2.60GHz,1 GB RAM,NVIDIA® GeForce® GTX 480 or better,350 MB available space,e5e2b76e36944062a25840a557cb5aeb
Windows 7 64-bit and above,Intel Core i5-4460 @3.20GHz or AMD FX-9370,1 GB RAM,NVIDIA® GeForce® GTX 760 or AMD Radeon R7 370,350 MB available space,e5e2b76e36944062a25840a557cb5aeb
Windows 7 / 8.1 / 10,AMD FX 4300 / Intel Core i3-4130,4 GB RAM,Radeon HD 7870 / GeForce GTX 660,4290 MB,ad2d42f582114594a105d8fe2a4cc12a
Windows 10,AMD FX 8350 / Intel Core i5-4690K,8 GB RAM,Radeon R9 380 / GeForce GTX 1050-Ti,4290 MB,ad2d42f582114594a105d8fe2a4cc12a
Windows 10,Intel i5-8400 | AMD Ryzen 5 1500X,8 GB,Nvidia GTX 970 | AMD RX 570,20 GB,398144371e664e3785069448ed6589aa
Windows 10,Intel i7-7700 | AMD Ryzen 7 1700X,8 GB,Nvidia GTX 1070 | Radeon RX Vega 56,20 GB,398144371e664e3785069448ed6589aa
Windows 7/8/10,"AMD Phenom II X4 955 - 4 Core, 3.2 GHz",8 GB,2GB / Radeon R9 200 Series or Nvidia GeForce GTX660,12 GB,195f717901a14c63b8b9bf3572b937b2
Windows 10 ,"AMD Ryzen 5 2500x, 3.6GHz",16 GB,2GB / Radeon R9 200 Series or Nvidia GeForce GTX660 or better,12 GB,195f717901a14c63b8b9bf3572b937b2
Windows 10 64bit (ver. 2004 or later),Intel Core i5 3330 / AMD FX-8350,8 GB,GeForce GTX 780 / Radeon RX 480 （3GB VRAM）,100GB or more,d0f6b4b32c2349918f1e38a6a13e3cd4
Windows 10 64bit (ver. 2004 or later),Intel Core i7-3770 / AMD Ryzen 3 3100,12 GB,GeForce GTX 1080 / Radeon RX 5700 （8GB VRAM）,100GB or more,d0f6b4b32c2349918f1e38a6a13e3cd4
Windows (64bit) OS,Intel i5-2500,4 GB RAM,Nvidia 730 GTx / 2GB vRAM,10 GB,8cb51340f8a148aa95ff636833c2bce0
Windows (64bit) OS,Intel i7-4700,8 GB RAM,Nvidia 1060 GTx / 3GB vRAM,10 GB,8cb51340f8a148aa95ff636833c2bce0
Windows 7 64-bit,Intel Core i5 2300 or equivalent,4 GB RAM,GeForce GTX 560 Ti or equivalent,8 GB,464a19f4865248b5948c9514af11d563
Windows 7+ 64-bit,Intel Core i7 4790 or equivalent,8 GB RAM,GeForce GTX 760 or equivalent,8 GB,464a19f4865248b5948c9514af11d563
Windows 7 SP1 (64-bit),Intel Core2 Duo E8400 or AMD Phenom II X2 550,4 GB RAM,Intel UHD 630 or Radeon Vega 8,2GB,0a8b32256f374cf4998c3ecf44c31db9
Windows 10 (64-bit),Intel Pentium G4600 or AMD FX-4350,8 GB RAM,GeForce GTX 750 or Radeon R9 270X,2GB,0a8b32256f374cf4998c3ecf44c31db9
"Windows XP Service Pack 3, Windows Vista,7,8 (32bit/64bit)","Dual core CPU: AMD Athlon64 X2 2.1 Ghz (4050+), Intel Core2 Duo 1.86 Ghz (E6300)",1GB Memory (2GB on Vista),"DirectX 9 graphics card with 512Mb Video RAM: AMD Radeon HD 2600 XT, nVidia 8600",12GB,1c5143aeec774495a5acc9d613af181b
"Windows Vista, Windows 7 or Windows 8","Quad core CPU: AMD Phenom II X4 955, Intel Core i5-750",4GB Memory,"DirectX 11 graphics card with 1GB Video RAM: AMD Radeon HD 5870, nVidia GTX 480",12GB,1c5143aeec774495a5acc9d613af181b
Windows 7 64 bit,i3-3220 INTEL or AMD Equivalent,8GB,Nvidia GTX 660/GTX 1050 or AMD Radeon HD 7770,40GB,ee7f3c6725fd4fd4b8aeab8622cb770e
Windows 10 64 bit,"Intel Core i7 4770K, 3.40 Ghz or AMD Ryzen 5 1600, 3.20 Ghz",16GB,"Nvidia GTX 1060 6GB or AMD Radeon RX 480, 8GB",40GB,ee7f3c6725fd4fd4b8aeab8622cb770e
Windows 7,Intel Core i3-4130,2 GB RAM,GeForce GTX 750 Ti,1 GB available space,c6b3bafc482248b8a5c64421ece986ba
Windows 10,Intel Core i3-4130 or better,2 GB RAM or more,GeForce GTX 750 Ti or better,1 GB available space,c6b3bafc482248b8a5c64421ece986ba
Windows 7 64-bit,Intel Duo Core 2Ghz or equivalent,4GB RAM,GTX 770 (2GB) or equivalent,8GB,8c06c52475f04adb9cdfea4c0a50f734
Windows 10 64-bit,Intel Quad Core 2.5Ghz or equivalent,8GB RAM,GTX 1060 (6GB) or equivalent,8GB,8c06c52475f04adb9cdfea4c0a50f734
Windows 7 SP 1 64bit,Intel Core i3 - 8100 / AMD Ryzen 3 2200G,8 GB RAM,NVIDIA GeForce GTX 660 / Radeon HD 7790,10 GB available space,22390b42e5e947de9cb9621e808e949c
Windows 10 64bit,Intel Core i7-8700K / AMD Ryzen 7 3700X,16 GB RAM,GeForce GTX 1060 6GB / Radeon RX 590,10 GB available space,22390b42e5e947de9cb9621e808e949c
Windows 10,Intel® Core™ i5-2500K / AMD FX-6300,6 GB RAM,Nvidia GeForce GTX 960 2GB / AMD Radeon R9 380 2GB,15 GB available space,ecd8e96fc1c64d94b60a9f3fdd03b70e
Windows 10,Intel® Core™ i7-4770K / AMD Ryzen 5 1500X,8 GB RAM,Nvidia Geforce GTX 2060 6GB / AMD Radeon R5600XT 4GB,15 GB available space,ecd8e96fc1c64d94b60a9f3fdd03b70e
"Windows 7, 8, 10","Intel Core2Duo / AMD X2, min. 2.2 GHz",4 GB RAM,"DirectX 11 compatible GPU, min. 1.5GB dedicated VRAM (AMD Radeon HD 7000 series / NVIDIA GeForce GTX 500 series)",10 GB,4f5fc46773204263addc7aaa76601b4a
Windows 10,"Intel i5 / AMD X4, min. 2.8 GHz",8 GB RAM,"DirectX 11 compatible GPU, min. 2GB dedicated VRAM (AMD R9 300 series / NVIDIA GeForce GTX 900 series)",10 GB,4f5fc46773204263addc7aaa76601b4a
Windows 10 64-bit,Intel i5-2500k (4 core 3.3 GHz) or AMD Ryzen 3 1200 (4 core 3.1 GHz),8 GB DDR,NVIDIA GTX 960 (4 GB) or AMD R9 290X (4 GB),70 GB HDD (SSD Recommended),5e5ac1cb3b20442cadb7de54486b9cf2
Windows 10 64-bit,Intel i5-6600k (4 core 3.5 GHz) or AMD Ryzen 5 2400 G (4 core 3.6 GHz),8 GB DDR,NVIDIA GTX 1060 (6 GB) or AMD RX 570 (4 GB),70 GB SSD,5e5ac1cb3b20442cadb7de54486b9cf2
Windows 10 64-bit,Intel Core i5-4460 3.2 GHz or AMD Ryzen 3 1200 3.1 GHz,8 GB,Nvidia GeForce GTX 960 4GB or AMD Radeon R9 290X 4GB,60 GB,dc763559d59d401381b21724e6945db2
Windows 10 64-bit,Intel Core i7-4790K 4.0 GHz or AMD Ryzen 5 1500X 3.5 GHz,16 GB,Nvidia GeForce GTX 1660 Ti 6GB or AMD Radeon RX 580 4GB,60 GB,dc763559d59d401381b21724e6945db2
Windows 7 or better,Intel i3 5th gen or equivalent,4 GB RAM,Intel HD Graphics,1 GB,9f944e95eb3a40d8a45a3c4f8871f194
Windows 10 or better,Intel i5 3.0 Ghz Quad core or better,8 GB RAM,Nvidia 760 or better,2.5 GB,9f944e95eb3a40d8a45a3c4f8871f194
"Windows 7, 10 (64-bit)",AMD FX-8350 X8 / Intel i5-4690K,8 GB,AMD R9 380 4GB / GTX 960 4GB,30 GB,3e7a695d0c9444a9b7b0edd55d041ec2
